CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,fragrance_family,all_descriptors
300371-33-9,"2,3-dihydro-1,1-dimethyl-1h-indene-ar-propanal",green,aldehydic,floral,green,"['green', 'aldehydic', 'floral']"
71850-78-7,"2,3-dimethyl-4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butenal",woody,floral,powdery,woody,"['woody', 'floral', 'powdery']"
3782-00-1,"2,3-dimethylbenzofuran",aromatic,phenolic,dry,aromatic,"['aromatic', 'phenolic', 'dry']"
526-75-0,"2,3-dimethylphenol",earthy,phenolic,musty,earthy,"['earthy', 'phenolic', 'musty']"
5910-89-4,"2,3-dimethylpyrazine",food like,nutty,roasted,food like,"['food like', 'nutty', 'roasted']"
96-04-8,"2,3-heptanedione",food like,buttery,cheesy,food like,"['food like', 'buttery', 'cheesy']"
3848-24-6,"2,3-hexanedione",gourmand,buttery,caramel,gourmand,"['gourmand', 'buttery', 'caramel']"
74338-72-0,"2,4,4,7-tetramethyl-6-octen-3-one",citrus,fruity,floral,citrus,"['citrus', 'fruity', 'floral']"
81783-01-9,"2,4,4,7-tetramethylnona-6,8-diene-3-one-oxime",fruity,blackcurrant,grapefruit,fruity,"['fruity', 'blackcurrant', 'grapefruit']"
13623-11-5,"2,4,5-trimethylthiazole",gourmand,nutty,cocoa,gourmand,"['gourmand', 'nutty', 'cocoa']"
68527-77-5,"2,4,6-trimethyl-3-cyclohexene-1-methanol",floral,spicy,green,floral,"['floral', 'spicy', 'green']"
5182-36-5,"2,4,6-trimethyl-4-phenyl-1,3-dioxane",fruity,citrus,green,fruity,"['fruity', 'citrus', 'green']"
1423-46-7,"2,4,6-trimethylcyclohex-3-enecarbaldehyde",green,privet,dry,green,"['green', 'privet', 'dry']"
527-60-6,"2,4,6-trimethylphenol",smoky,phenolic,coffee,smoky,"['smoky', 'phenolic', 'coffee']"
18409-21-7,"2,4-decadien-1-ol",citrus,fresh,green,citrus,"['citrus', 'fresh', 'green']"
131812-67-4,"2,4-dimethyl-2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1,3-dioxolane",woody,amber,warm,woody,"['woody', 'amber', 'warm']"
68039-49-6,"2,4-dimethyl-3-cyclohexen-1-carboxaldehyde",green,grassy,citrus,green,"['green', 'grassy', 'citrus']"
27606-09-3,"2,4-dimethyl-4,4a,5,9b-tetrahydroindeno[1,2-d]-1,3-dioxin",floral,muguet,magnolia,floral,"['floral', 'muguet', 'magnolia']"
82461-14-1,"2,4-dimethyl-4-phenyltetrahydrofuran",citrus,rhubarb,green,citrus,"['citrus', 'rhubarb', 'green']"
